Recipe Name,Ingredients,Ingredients,Produce,Liquid,Sweetener,Other,Diet,Vegan Friendly,Nut-Free,Non-Dairy Friendly,Vegan Substitute,Dairy Substitute,Nut Substitute,Dietary Tags,Source URL
Strawberry-Orange,"10 frozen strawberries, 1 cup yogurt, 1/2 cup orange juice, 1/2 teaspoon sugar","strawberry, yogurt, orange juice, sugar",strarberry,"yogurt, orange juice",sugar,,Nut-Free,No,Yes,No,coconut milk,coconut milk,,Nut-Free,https://recipes.heart.org/en/recipes/strawberry-orange-smoothie
Blueberry-Mango,"3/4 cup yogurt, 3/4 cup whole milk, 3/4 cup blueberries, 3/4 cup mangos, 1 tablespoon honey, 1 splash vanilla extract","yogurt, whole milk, blueberry, mango, honey, vanilla extract","blueberry, mango","yogurt, whole milk",honey,vanilla extract,Nut-Free,No,Yes,No,coconut milk; sugar,coconut milk,,Nut-Free,https://recipes.heart.org/en/recipes/blueberry-mango-smoothie
Avocado-Coconut,"2 avocados, 3 cups coconut milk, 3 cups mangos","avocado, coconut milk, mango","avocado, mango",coconut milk,,,"Vegan Friendly, Nut-Free, Non-Dairy Friendly",Yes,Yes,Yes,,,,Vegan; Nut-Free; Non-Dairy,https://recipes.heart.org/en/recipes/avocado-and-coconut-refresher-smoothie
Blueberry,"2 cups peaches, 2 cups spinach, 1 cup blueberries, 1 cup whole milk, 1 teaspoon honey","peach, spinach, blueberry, whole milk, honey","peach, spinach, blueberry",whole milk,honey,,Nut-Free,No,Yes,No,coconut milk; honey,coconut milk,,Nut-Free,https://recipes.heart.org/en/recipes/bluey-smoothie
Peanut Butter,"1 bananas, 1/2 cup whole milk, 1/4 cup yogurt, 1 1/2 tablespoons peanut butter","banana, whole milk, yogurt, peanut butter",banana,"whole milk, yogurt",,peanut butter,,No,No,No,coconut milk,coconut milk,sunflower seed butter,,https://www.foodnetwork.com/recipes/ellie-krieger/peanut-butter-split-smoothie-recipe-1957586
Berry-Beet,"2 cups mixed berries, strawberries and raspberries, 1 beets, 1 tablespoon lemon juice, 2 teaspoons coconut oil","mixed berry, beet, lemon juice, coconut oil","mixed berry, beet",lemon juice,,coconut oil,"Vegan Friendly, Nut-Free, Non-Dairy Friendly",Yes,Yes,Yes,,,,Vegan; Nut-Free; Non-Dairy,https://www.foodnetwork.com/recipes/food-network-kitchen/red-berry-and-beet-smoothie-3362663
Watermelon-Cucumber,"1/2 cup cucumbers, 3 tablespoons whole milk, 1 tablespoon honey, 1/2 lime juice, 2 cups watermelons","cucumber, whole milk, honey, lime juice, watermelon","cucumber, watermelon","whole milk, lime juice",,honey,Nut-Free,No,Yes,No,coconut milk; sugar,coconut milk,,Nut-Free,https://www.foodnetwork.com/recipes/food-network-kitchen/watermelon-and-cucumber-smoothie-3363159
Tomato-Watermelon,"1/2 cup tomatoes, 3/4 cup watermelon, 1/2 strawberries, 2 basil leaves, 1 tablespoon honey","tomato, watermelon, strawberry, basil leaf, honey","tomato, watermelon, strawberry, basil leaf",,,honey,"Nut-Free, Non-Dairy Friendly",No,Yes,Yes,sugar,,,Nut-Free; Non-Dairy,https://www.foodnetwork.com/healthyeats/recipes/a-year-of-smoothie-recipes
Lime-in-the-Coconut,"2 teaspoons lime juice, 1 bananas, 1 cup coconut milk, 1 cup spinach, 1 tablespoon honey","lime juice, banana, coconut milk, spinach, honey","banana, spinach","lime juice, coconut milk",,honey,"Nut-Free, Non-Dairy Friendly",No,Yes,Yes,sugar,,,Nut-Free; Non-Dairy,https://www.fitlivingeats.com/smoothie-recipe-lime-in-the-coconut/
Carrot,"1 cup carrots, 1 cup orange juice","carrot, orange juice",carrot,orange juice,,,"Vegan Friendly, Nut-Free, Non-Dairy Friendly",Yes,Yes,Yes,,,,,https://www.eatingwell.com/recipe/259625/carrot-smoothie/hi